Date,Price
2021-09-07,46314.0
2021-09-08,46357.0
2021-09-09,46783.0
2021-09-10,46421.0
2021-09-13,46475.0
2021-09-14,46815.0
2021-09-15,46565.0
2021-09-16,45452.0
2021-09-17,45395.0
2021-09-20,45798.0
2021-09-21,46144.0
2021-09-22,46246.0
2021-09-23,45542.0
2021-09-24,45573.0
2021-09-27,45564.0
2021-09-28,45202.0
2021-09-29,45035.0
2021-09-30,46017.0
2021-10-01,46020.0
2021-10-04,46197.0
2021-10-05,46285.0
2021-10-06,46303.0
2021-10-07,46357.0
2021-10-08,46358.0
2021-10-11,46608.0
2021-10-12,46766.0
2021-10-13,47759.0
2021-10-14,47726.0
2021-10-15,46749.0
2021-10-18,46692.0
2021-10-19,46965.0
2021-10-20,47274.0
2021-10-21,47002.0
2021-10-22,47415.0
2021-10-25,47774.0
2021-10-26,47483.0
2021-10-27,47493.0
2021-10-28,47693.0
2021-10-29,47042.0
2021-11-01,47444.0
2021-11-02,47213.0
2021-11-03,46477.0
2021-11-04,47077.0
2021-11-05,47719.0
2021-11-08,47823.0
2021-11-09,47720.0
2021-11-10,48341.0
2021-11-11,48900.0
2021-11-12,48969.0
2021-11-15,48934.0
2021-11-16,48668.0
2021-11-17,49106.0
2021-11-18,48747.0
2021-11-19,48435.0
2021-11-22,47334.0
2021-11-23,46824.0
2021-11-24,46851.0
2021-11-26,46919.0
2021-11-29,47140.0
2021-11-30,46955.0
2021-12-01,47165.0
2021-12-02,46591.0
2021-12-03,47133.0
2021-12-06,47171.0
2021-12-07,47405.0
2021-12-08,47437.0
2021-12-09,47187.0
2021-12-10,47544.0
2021-12-13,47704.0
2021-12-14,47353.0
2021-12-15,47281.0
2021-12-16,48297.0
2021-12-17,48463.0
2021-12-20,48089.0
2021-12-21,47778.0
2021-12-22,48098.0
2021-12-23,48209.0
2021-12-27,48035.0
2021-12-28,47877.0
2021-12-29,47592.0
2021-12-30,47681.0
2021-12-31,47980.0
2022-01-03,47295.0
2022-01-04,47608.0
2022-01-05,47971.0
2022-01-06,46961.0
2022-01-07,47172.0
2022-01-10,47114.0
2022-01-11,47507.0
2022-01-12,47575.0
2022-01-13,47409.0
2022-01-14,47397.0
2022-01-18,47469.0
2022-01-19,48512.0
2022-01-20,48386.0
2022-01-21,48107.0
2022-01-24,48341.0
2022-01-25,48781.0
2022-01-26,48268.0
2022-01-27,47376.0
2022-01-28,47352.0
2022-01-31,47512.0
2022-02-01,47345.0
2022-02-02,47700.0
2022-02-03,47586.0
2022-02-04,47567.0
2022-02-07,47935.0
2022-02-08,48103.0
2022-02-09,48353.0
2022-02-10,48453.0
2022-02-11,49048.0
2022-02-14,49643.0
2022-02-15,49518.0
2022-02-16,49592.0
2022-02-17,50312.0
2022-02-18,50270.0
2022-02-22,50102.0
2022-02-23,50254.0
2022-02-24,50680.0
2022-02-25,50179.0
2022-02-28,50295.0
2022-03-01,51582.0
2022-03-02,51361.0
2022-03-03,51606.0
2022-03-04,52605.0
2022-03-07,53746.0
2022-03-08,55469.0
2022-03-09,53879.0
2022-03-10,53660.0
2022-03-11,53369.0
2022-03-14,53054.0
2022-03-15,52033.0
2022-03-16,51329.0
2022-03-17,52080.0
2022-03-18,51679.0
2022-03-21,51665.0
2022-03-22,51698.0
2022-03-23,51986.0
2022-03-24,52969.0
2022-03-25,52600.0
2022-03-28,52187.0
2022-03-29,51280.0
2022-03-30,51606.0
2022-03-31,52136.0
2022-04-01,51386.0
2022-04-04,51714.0
2022-04-05,51195.0
2022-04-06,51057.0
2022-04-07,51804.0
2022-04-08,51991.0
2022-04-11,52066.0
2022-04-12,52755.0
2022-04-13,53211.0
2022-04-14,52920.0
2022-04-18,53389.0
2022-04-19,52622.0
2022-04-20,52644.0
2022-04-21,52328.0
2022-04-22,51960.0
2022-04-25,51062.0
2022-04-26,51327.0
2022-04-27,51085.0
2022-04-28,50947.0
2022-04-29,51581.0
2022-05-02,50255.0
2022-05-03,50444.0
2022-05-04,50358.0
2022-05-05,50239.0
2022-05-06,50791.0
2022-05-09,50412.0
2022-05-10,50210.0
2022-05-11,50495.0
2022-05-12,49805.0
2022-05-13,49373.0
2022-05-16,49567.0
2022-05-17,49900.0
2022-05-18,49560.0
2022-05-19,50541.0
2022-05-20,50298.0
2022-05-23,50721.0
2022-05-24,51004.0
2022-05-25,50456.0
2022-05-26,50501.0
2022-05-27,50694.0
2022-05-31,50388.0
2022-06-01,50455.0
2022-06-02,51080.0
2022-06-03,50357.0
2022-06-06,50404.0
2022-06-07,50714.0
2022-06-08,50737.0
2022-06-09,50687.0
2022-06-10,51372.0
2022-06-13,50409.0
2022-06-14,49888.0
2022-06-15,49936.0
2022-06-16,50717.0
2022-06-17,50489.0
2022-06-21,50433.0
2022-06-22,50555.0
2022-06-23,50356.0
2022-06-24,50345.0
2022-06-27,50261.0
2022-06-28,50288.0
2022-06-29,50588.0
2022-06-30,50209.0
2022-07-01,50105.0
2022-07-05,49057.0
2022-07-06,48570.0
2022-07-07,48456.0
2022-07-08,48640.0
2022-07-11,48411.0
2022-07-12,48312.0
2022-07-13,48617.0
2022-07-14,47983.0
2022-07-15,47967.0
2022-07-18,48063.0
2022-07-19,48273.0
2022-07-20,47872.0
2022-07-21,48333.0
2022-07-22,48600.0
2022-07-25,48434.0
2022-07-26,48303.0
2022-07-27,48415.0
2022-07-28,49297.0
2022-07-29,49481.0
2022-08-01,49417.0
2022-08-02,49326.0
2022-08-03,48743.0
2022-08-04,49913.0
2022-08-05,49501.0
2022-08-08,50050.0
2022-08-09,50373.0
2022-08-10,50403.0
2022-08-11,49934.0
2022-08-12,50510.0
2022-08-15,50035.0
2022-08-16,49758.0
2022-08-17,49143.0
2022-08-18,49136.0
2022-08-19,49172.0
2022-08-22,48881.0
2022-08-23,49221.0
2022-08-24,49231.0
2022-08-25,49474.0
2022-08-26,48919.0
2022-08-29,48980.0
2022-08-30,48607.0
2022-08-31,48141.0
2022-09-01,47606.0
2022-09-02,48078.0
2022-09-06,47853.0
2022-09-07,48340.0
2022-09-08,47987.0
2022-09-09,48251.0
2022-09-12,48555.0
2022-09-13,47725.0
2022-09-14,47635.0
2022-09-15,46675.0
2022-09-16,47085.0
2022-09-19,46836.0
2022-09-20,46664.0
2022-09-21,46834.0
2022-09-22,47178.0
2022-09-23,47045.0
2022-09-26,46526.0
2022-09-27,46831.0
2022-09-28,47865.0
2022-09-29,47637.0
2022-09-30,47779.0
2022-10-03,48680.0
2022-10-04,49475.0
2022-10-05,49179.0
2022-10-06,49298.0
2022-10-07,49395.0
2022-10-10,48715.0
2022-10-11,48804.0
2022-10-12,48474.0
2022-10-13,48422.0
2022-10-14,47596.0
2022-10-17,48169.0
2022-10-18,47810.0
2022-10-19,47239.0
2022-10-20,47743.0
2022-10-21,48235.0
2022-10-24,48002.0
2022-10-25,48250.0
2022-10-26,48392.0
2022-10-27,48064.0
2022-10-28,47680.0
2022-10-31,47455.0
2022-11-01,48004.0
2022-11-02,47998.0
2022-11-03,47579.0
2022-11-04,48778.0
2022-11-07,48477.0
2022-11-08,49416.0
2022-11-09,49105.0
2022-11-10,50221.0
2022-11-11,50135.0
2022-11-14,50360.0
2022-11-15,50675.0
2022-11-16,50702.0
2022-11-17,50617.0
2022-11-18,50379.0
2022-11-21,49959.0
2022-11-22,50112.0
2022-11-23,50295.0
2022-11-25,50500.0
2022-11-28,50129.0
2022-11-29,50356.0
2022-11-30,50275.0
2022-12-01,51654.0
2022-12-02,51415.0
2022-12-05,50761.0
2022-12-06,51113.0
2022-12-07,51879.0
2022-12-08,51897.0
2022-12-09,52186.0
2022-12-12,51759.0
2022-12-13,52878.0
2022-12-14,52537.0
2022-12-15,51723.0
2022-12-16,52316.0
2022-12-19,52166.0
2022-12-20,52897.0
2022-12-21,52932.0
2022-12-22,52242.0
2022-12-23,52500.0
2022-12-27,53070.0
2022-12-28,52787.0
2022-12-29,53175.0
2022-12-30,53170.0
2023-01-03,53670.0
2023-01-04,54105.0
2023-01-05,53502.0
2023-01-06,54345.0
2023-01-09,54347.0
2023-01-10,54254.0
2023-01-11,53982.0
2023-01-12,54580.0
2023-01-13,54890.0
2023-01-17,54931.0
2023-01-18,54765.0
2023-01-19,55213.0
2023-01-20,55203.0
2023-01-23,55044.0
2023-01-24,55588.0
2023-01-25,55875.0
2023-01-26,55460.0
2023-01-27,55406.0
2023-01-30,55285.0
2023-01-31,55524.0
2023-02-01,55603.0
2023-02-02,55232.0
2023-02-03,53913.0
2023-02-06,54127.0
2023-02-07,54636.0
2023-02-08,54794.0
2023-02-09,54413.0
2023-02-10,54231.0
2023-02-13,53900.0
2023-02-14,54017.0
2023-02-15,53614.0
2023-02-16,53758.0
2023-02-17,53684.0
2023-02-21,53469.0
2023-02-22,53546.0
2023-02-23,53120.0
2023-02-24,52713.0
2023-02-27,53144.0
2023-02-28,53320.0
2023-03-01,53566.0
2023-03-02,53304.0
2023-03-03,53675.0
2023-03-06,53262.0
2023-03-07,52373.0
2023-03-08,52479.0
2023-03-09,52888.0
2023-03-10,53869.0
2023-03-13,55266.0
2023-03-14,55416.0
2023-03-15,55933.0
2023-03-16,55990.0
2023-03-17,57408.0
2023-03-20,57619.0
2023-03-21,56417.0
2023-03-22,56775.0
2023-03-23,58039.0
2023-03-24,57517.0
2023-03-27,56705.0
2023-03-28,57200.0
2023-03-29,56982.0
2023-03-30,57457.0
2023-03-31,57022.0
2023-04-03,57512.0
2023-04-04,58591.0
2023-04-05,58535.0
2023-04-06,58158.0
2023-04-10,57453.0
2023-04-11,57976.0
2023-04-12,58214.0
2023-04-13,59015.0
2023-04-14,57687.0
2023-04-17,57572.0
2023-04-18,58066.0
2023-04-19,57786.0
2023-04-20,58310.0
2023-04-21,57354.0
2023-04-24,57572.0
2023-04-25,57571.0
2023-04-26,57429.0
2023-04-27,57393.0
2023-04-28,57398.0
2023-05-01,57190.0
2023-05-02,58102.0
2023-05-03,58518.0
2023-05-04,59078.0
2023-05-05,58150.0
2023-05-08,58416.0
2023-05-09,58743.0
2023-05-10,58806.0
2023-05-11,58217.0
2023-05-12,58340.0
2023-05-15,58512.0
